iter	Passed	Remaining
324	9643	20028
325	9667	19986
326	9694	19951
327	9718	19911
328	9747	19879
329	9773	19843
330	9805	19817
331	9833	19785
332	9865	19760
333	9900	19741
334	9933	19719
335	9966	19695
336	10003	19681
337	10039	19662
338	10074	19643
339	10111	19627
340	10139	19594
341	10181	19588
342	10216	19569
343	10251	19548
344	10283	19524
345	10307	19482
346	10345	19469
347	10377	19442
348	10416	19429
349	10452	19412
350	10482	19381
351	10508	19345
352	10550	19338
353	10584	19315
354	10628	19310
355	10658	19281
356	10695	19263
357	10722	19229
358	10751	19197
359	10777	19159
360	10805	19127
361	10838	19102
362	10868	19073
363	10899	19043
364	10929	19013
365	10955	18977
366	10982	18943
367	11014	18916
368	11048	18893
369	11082	18870
370	11121	18856
371	11149	18822
372	11187	18805
373	11219	18779
374	11252	18754
375	11283	18725
376	11319	18705
377	11352	18679
378	11381	18649
379	11406	18610
380	11438	18583
381	11465	18548
382	11493	18515
383	11515	18472
384	11542	18437
385	11566	18397
386	11595	18367
387	11619	18327
388	11644	18289
389	11674	18260
390	11704	18230
391	11739	18207
392	11778	18192
393	11813	18169
394	11846	18145
395	11881	18122
396	11912	18094
397	11937	18056
398	11959	18014
399	11994	17991
400	12018	17952
401	12056	17934
